"Num","Title","Type","Specialisations","Categories","Supervisor","Prerequisites","Summary","File"
"36","Exploration of Digital equity within Auckland","Undergraduate","Computer Systems Engineering; Software Engineering","Telecommunications; Web tools and Application","Catherine Watson","SOFTENG 364, or equivalent computer network experience.","The interenet is now crucial to all our lives, and whilst the importance of digital inclusion is well recognised in New Zealand, the level of service people have access to is not equitable. The difference in service between rural and urban New Zealand is well documented, with the rural services prov...","36_Exploration_of_Digital_equity_within_Auckland.html"
"37","Investigating speech intelligibility inequity in our learning spaces.","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","Image & Voice Processing; Signal Processing","Catherine Watson","have an interest in audio and acoustics,  and have completed EEE 331 or 332 or MM3 advisable, thus EEE or CSE students are ideally suited, however SE students wanting to get expertise in audio and willing to learn some audio processing are welcome to apply.","Do you find it hard understanding your lecturer speak in class? Background noise and the acoustics of the room can make this task very difficult, especially if you have hearing loss or your first language is not the same as the one the lecturer is using.; Acoustics of rooms such as background noise ...","37_Investigating_speech_intelligibility_inequity_in_our_learning_spaces.html"
"38","Broadband Horn Antennas for Anechoic Chamber Measurements","Undergraduate","Electrical and Electronic Engineering","Radio Systems","Michael Neve","Prerequisite ELECTENG307, corequisite ELECTENG721.","Electromagnetic anechoic chambers are frequently used to experimentally determine the radiation characteristics of antennas.  In order to perform measurements of an antenna under test (AUT), a second antenna is required which must have a sufficiently broad beamwidth to evenly illuminate the AUT, and...","38_Broadband_Horn_Antennas_for_Anechoic_Chamber_Measurements.html"
"39","High-Performance Metasurface Waveguides","Undergraduate","Electrical and Electronic Engineering","Radio Systems","Michael Neve","Prerequisite ELECTENG307, corequisite ELECTENG721.","Waveguides for high-frequency signals have traditionally been realised using bulky three dimensional structures (e.g. coaxial cable, rectangular/circular waveguides supporting non-TEM modes, etc).  However, recently there has been some interest in developing planar waveguiding structures using metas...","39_HighPerformance_Metasurface_Waveguides.html"
"40","Design of a Coaxial-to-Ridged Waveguide Transition","Undergraduate","Electrical and Electronic Engineering","Radio Systems","Michael Neve","Prerequisite ELECTENG307, corequisite ELECTENG721.","Ridged waveguides can achieve much greater bandwidth that their traditional rectangular or circular counterparts, and this makes them attractive for applications which require broadband performance.  However, broadband performance is often determined by other components in the waveguide system, in p...","40_Design_of_a_CoaxialtoRidged_Waveguide_Transition.html"
"41","Reconfigurable Hardware Accelerator for Energy-Efficient AI","Undergraduate","Computer Systems Engineering","AI & Machine learning","Morteza Biglari-Abhari","Students should have passed COMPSYS 304 and COMPSYS 305 very well, as good knowledge of computer architecture and digital systems design is essential for this project.; Students are highly recommended to take COMPSYS 701 as an elective, which can be helpful to provide additional knowledge to carry out this research.","Rapid increase in using artificial intelligence (AI) in different applications requires considering high-level of accuracy and performance in addition to energy efficiency especially for edge devices as the main design constraints.; Machine learning models for AI are trained based on application-spe...","41_Reconfigurable_Hardware_Accelerator_for_EnergyEfficient_AI.html"
"42","Application-Specific Processor for Computer Vision","Undergraduate","Computer Systems Engineering","Image & Voice Processing","Morteza Biglari-Abhari","Students should have passed COMPSYS 304 and COMPSYS 305, as good knowledge of computer architecture and digital systems design is essential for this project.; Students are highly recommended to take COMPSYS 701 as an elective, which can be helpful to provide additional knowledge to carry out this project.","Computer vision systems are used for many applications such as transportation, healthcare, and manufacturing. Many computer vision applications use machine learning algorithms for object detection and tracking to achieve a higher level of accuracy required for the target applications. However, high ...","42_ApplicationSpecific_Processor_for_Computer_Vision.html"
"43","Soft-Core based Multi-Processor System for Multi-Tasking Applications","Undergraduate","Computer Systems Engineering","Embedded Systems","Morteza Biglari-Abhari","None","To satisfy different design constraints and employ the available processing power, computing systems for embedded applications are typically designed as Multi-Processor Systems in Chip (MPSoC). This provides more opportunities to investigate the design trade-offs and optimize the target execution pl...","43_SoftCore_based_MultiProcessor_System_for_MultiTasking_Applications.html"
"44","ML classification of plant pathogens from image data","Undergraduate","Computer Systems Engineering","AI & Machine learning; Image & Voice Processing; Robotics","Mahla Nejati","None","This project addresses the growing need for precision agriculture techniques that can provide detailed, real-time insights into crop conditions. The use of such multispectral cameras, capable of capturing a broad spectrum of light including wavelengths beyond human vision, allows for the detection o...","44_ML_classification_of_plant_pathogens_from_image_data.html"
"45","Pallet Detection with Machine Learning: From synthetic data to the real world","Undergraduate","Software Engineering","AI & Machine learning; Image & Voice Processing; Robotics","Mahla Nejati","None","To reliably engage pallets without human intervention, an autonomous forklift should be able to detect the pallet pose and determine its state/load. Such modern computer vision problems are often approached using machine learning techniques, however collecting and labelling large data sets for model...","45_Pallet_Detection_with_Machine_Learning_From_synthetic_data_to_the_real_world.html"
